stu_id,stu_name,emp_type_id,title,birthday,home_address,postal_code,city_id,phone_num,email,active_flg
5032,Bruno Choi,1,Ms,1985-02-17,890 Okonkwo St,P8B 4T1,20,555-7789,student5032@example.edu,1
5033,Kaia Bergstrom,1,Mx,1975-07-28,774 Bergstrom St,K5E 2Y4,7,555-6916,student5033@example.edu,1
5034,Ines Jansen,3,Mr,1983-04-07,148 Tanaka St,L5A 9T4,15,555-6079,student5034@example.edu,1
5035,Greta Bergstrom,1,Dr,1985-02-01,423 Varga St,M0A 8W2,13,555-8627,student5035@example.edu,1
5036,Jasper Achebe,1,Dr,1977-12-06,80 Gallagher St,L8A 9Y3,5,555-6211,student5036@example.edu,1
5037,Kaia Eriksen,1,Mr,2002-08-14,53 Ueda St,V8H 2X1,1,555-5497,student5037@example.edu,1
5038,Wren Silva,1,Mr,1996-04-22,463 Tanaka St,N1C 2Y7,22,555-6004,student5038@example.edu,1
5039,Hassan Jansen,1,Mr,1988-10-29,635 Yilmaz St,P8E 9T9,9,555-7468,student5039@example.edu,1
5040,Dmitri Delgado,1,Mx,1985-09-05,700 Costa St,P5B 0X4,20,555-2739,student5040@example.edu,1
5041,Wren Bianchi,3,Mx,1991-01-20,473 Moreau St,P2C 0T4,28,555-3160,student5041@example.edu,1
5042,Hiro Nakamura,1,Ms,1983-04-23,418 Delgado St,M9A 3T2,23,555-4313,student5042@example.edu,1
5043,Dmitri Moreau,1,Mr,1977-02-02,625 Achebe St,M4J 5W3,11,555-1515,student5043@example.edu,1
5044,Kaia Jansen,3,Ms,1994-04-28,19 Choi St,P9A 6Y2,24,555-6588,student5044@example.edu,1
5045,Yusuf Delgado,2,Mr,1983-05-17,828 Haddad St,K7C 9R1,24,555-6737,student5045@example.edu,1
5046,Nadia Dubois,2,Ms,1998-05-23,984 Ibrahim St,N5E 2Y7,5,555-5502,student5046@example.edu,1
5047,Jonas Xu,1,Mr,1997-10-02,883 Zielinski St,L3B 6X4,13,555-3308,student5047@example.edu,1
5048,Kenji Whitfield,1,Ms,1983-12-08,108 Kowalski St,L1E 4Z8,18,555-1743,student5048@example.edu,1
5049,Jasper Jansen,1,Mr,1987-02-14,187 Varga St,L8B 7Y5,10,555-1638,student5049@example.edu,1
5050,Mateo Petrov,2,Mr,1986-08-27,463 Ahmadi St,P7B 9Y9,29,555-2131,student5050@example.edu,1
5051,Celine Okonkwo,1,Dr,1998-06-14,866 Rossi St,K0B 1Z6,29,555-1031,student5051@example.edu,1
5052,Wren Gallagher,2,Ms,1985-03-20,520 Petrov St,N9C 0T8,8,555-2473,student5052@example.edu,1
5053,Mateo Lindqvist,1,Mx,2002-02-27,217 Haddad St,V9J 8Y0,17,555-2369,student5053@example.edu,1
5054,Gabriela Varga,1,Dr,1992-11-07,580 Choi St,N8C 1X2,16,555-3378,student5054@example.edu,1
5055,Ines Varga,1,Ms,1977-02-26,869 Whitfield St,P6J 1R3,25,555-1863,student5055@example.edu,1
5056,Elena Kowalski,3,Mr,1976-07-15,709 Quintero St,M7B 1R6,21,555-8393,student5056@example.edu,1
5057,Hiro Bianchi,1,Mr,1981-02-25,565 Quintero St,V5A 7T0,12,555-4658,student5057@example.edu,1
5058,Priya Moreau,1,Ms,1983-10-17,823 Moreau St,V5B 8W9,4,555-7316,student5058@example.edu,1
5059,Nadia Gallagher,1,Dr,1998-04-19,673 Eriksen St,V2C 5Z0,6,555-8534,student5059@example.edu,1
5060,Ursula Whitfield,3,Ms,1988-10-09,181 Choi St,K9E 6Z1,6,555-2573,student5060@example.edu,1
5061,Rafael Petrov,2,Ms,1983-05-04,972 Rossi St,N1A 2Y7,16,555-9123,student5061@example.edu,1
5062,Devon Nakamura,1,Ms,1987-12-30,549 Gallagher St,M7A 3X4,16,555-9652,student5062@example.edu,1
5063,Viktor Ueda,2,Mr,1983-09-27,783 Ahmadi St,N6H 6Y0,20,555-2640,student5063@example.edu,1
5064,Adaeze Yilmaz,3,Mr,1982-02-12,498 Achebe St,L6A 0X1,29,555-8410,student5064@example.edu,1
5065,Sofia Delgado,1,Ms,1992-03-01,38 Whitfield St,M7A 3T8,25,555-5957,student5065@example.edu,1
5066,Sofia Moreau,1,Dr,1999-10-09,143 Gallagher St,N7E 9Z6,14,555-5479,student5066@example.edu,1
5067,Quinn Ueda,1,Ms,1992-06-05,400 Yilmaz St,P7H 1Z5,5,555-3445,student5067@example.edu,1
5068,Adaeze Kowalski,1,Mx,2003-12-06,288 Okonkwo St,L3A 2W5,11,555-4538,student5068@example.edu,1
5069,Wren Xu,1,Dr,2002-06-08,471 Tanaka St,M6B 6Y0,23,555-5606,student5069@example.edu,1
5070,Priya Ueda,2,Mr,1991-05-25,457 Ahmadi St,N2H 1X1,3,555-5405,student5070@example.edu,1
5071,Noor Costa,1,Ms,1975-06-17,926 Ueda St,M7C 7W8,24,555-7278,student5071@example.edu,1
5072,Hassan Ferreira,1,Ms,1993-05-16,873 Tanaka St,P4J 4T8,16,555-1871,student5072@example.edu,1
5073,Bruno Quintero,1,Dr,1997-03-27,104 Rossi St,P8E 5W4,30,555-2417,student5073@example.edu,1
5074,Priya Gallagher,1,Mx,2004-01-13,936 Jansen St,K0H 1Z3,13,555-5837,student5074@example.edu,1
5075,Celine Ferreira,1,Mr,1983-02-23,341 Okonkwo St,P2C 1X9,6,555-9453,student5075@example.edu,1
5076,Esther Kowalski,3,Mx,2003-10-20,479 Choi St,N7E 9R8,24,555-3539,student5076@example.edu,1
5077,Amara Delgado,1,Dr,2004-10-19,143 Ibrahim St,K7B 3Z9,10,555-8014,student5077@example.edu,1
5078,Kenji Nakamura,2,Ms,1980-08-21,535 Moreau St,N2B 1Z1,6,555-8332,student5078@example.edu,1
5079,Yusuf Tanaka,1,Mx,2002-11-13,927 Yilmaz St,K8H 1W1,17,555-1992,student5079@example.edu,1
5080,Bo Lindqvist,2,Mr,1982-04-22,293 Xu St,K1H 9X7,19,555-7100,student5080@example.edu,1
5081,Kaia Achebe,2,Mx,1995-07-02,565 Gallagher St,N7B 9T6,3,555-6827,student5081@example.edu,1
5082,Kenji Ibrahim,3,Mr,1975-06-05,330 Gallagher St,M2J 7T2,24,555-2681,student5082@example.edu,1
5083,Hiro Tanaka,1,Mr,2000-06-20,267 Ahmadi St,P2E 4T0,17,555-5852,student5083@example.edu,1
5084,Liam Rossi,1,Dr,1982-01-04,67 Nakamura St,P3E 2W0,1,555-6328,student5084@example.edu,1
5085,Gabriela Petrov,1,Mx,1982-08-21,268 Nakamura St,V8J 0W7,6,555-7275,student5085@example.edu,1
5086,Adaeze Moreau,2,Mx,1990-09-21,338 Nakamura St,P4B 1X7,14,555-5247,student5086@example.edu,1
5087,Kenji Achebe,1,Mr,1989-11-30,809 Quintero St,V3E 7R8,2,555-3431,student5087@example.edu,1
5088,Bo Achebe,1,Dr,2003-06-05,60 Achebe St,K0B 5R0,3,555-6948,student5088@example.edu,1
5089,Felix Tanaka,1,Dr,1979-02-01,397 Rossi St,N4C 0W1,4,555-5551,student5089@example.edu,1
5090,Kenji Delgado,1,Mr,1997-06-01,285 Xu St,M6B 5Z9,3,555-4291,student5090@example.edu,1
5091,Adaeze Ueda,3,Dr,1980-06-08,644 Yilmaz St,N2H 5T0,6,555-7943,student5091@example.edu,1
5092,Farid Whitfield,3,Ms,1976-09-22,312 Achebe St,V4H 2T3,1,555-4108,student5092@example.edu,1
5093,Bruno Okonkwo,1,Dr,1978-07-22,612 Whitfield St,M9J 4R2,3,555-3320,student5093@example.edu,1
5094,Felix Choi,1,Mr,2002-07-07,197 Tanaka St,V3H 7Y0,4,555-6774,student5094@example.edu,1
5095,Tomas Kowalski,3,Ms,1986-12-22,884 Petrov St,L0H 8X2,29,555-9347,student5095@example.edu,1
5096,Yusuf Ueda,1,Ms,1977-12-04,910 Lindqvist St,V7A 8T2,26,555-8987,student5096@example.edu,1
5097,Jasper Okonkwo,1,Mx,1989-07-06,452 Moreau St,N9J 1R9,27,555-6180,student5097@example.edu,1
5098,Liam Delgado,1,Mr,1976-09-05,943 Xu St,M3H 4W3,,555-7123,student5098@example.edu,1
5099,Elena Haddad,1,Ms,1987-09-12,870 Rossi St,K6A 5X5,17,555-9172,student5099@example.edu,1
5100,Ines Jansen,1,Mr,1979-05-31,64 Petrov St,L4E 4W0,2,555-3436,student5100@example.edu,1
5101,Adaeze Jansen,1,Mr,1998-05-19,648 Ibrahim St,M2B 6X5,20,555-7187,student5101@example.edu,1
5102,Adaeze Zielinski,3,Mx,1985-12-08,942 Ibrahim St,V1C 6Z0,25,555-4944,student5102@example.edu,1
5103,Jasper Kowalski,1,Mx,1997-10-03,937 Petrov St,P2H 8W0,10,555-2592,student5103@example.edu,1
5104,Elena Tanaka,2,Dr,1998-06-08,846 Costa St,K9H 8X3,12,555-8708,student5104@example.edu,1
5105,Mina Whitfield,1,Ms,1980-02-01,806 Eriksen St,M2B 2X4,1,555-2575,student5105@example.edu,1
5106,Hassan Jansen,1,Mx,1988-09-18,516 Dubois St,V7C 7Y6,18,555-9920,student5106@example.edu,1
5107,Bo Bergstrom,2,Ms,1976-10-20,452 Bianchi St,N4H 2X6,15,555-8874,student5107@example.edu,1
5108,Chiara Bergstrom,1,Mr,1997-01-24,256 Achebe St,M4B 7Y5,30,555-4941,student5108@example.edu,1
5109,Gabriela Tanaka,1,Mx,1978-07-14,335 Haddad St,V1J 6Z6,29,555-3514,student5109@example.edu,1
5110,Wren Bergstrom,3,Mr,1995-02-05,270 Jansen St,K3H 4W9,5,555-4342,student5110@example.edu,1
5111,Kenji Whitfield,1,Mx,1995-11-04,977 Gallagher St,V2E 0Y5,20,555-7900,student5111@example.edu,1
5112,Devon Bergstrom,1,Mx,2004-01-05,184 Petrov St,M9J 8Z3,1,555-1171,student5112@example.edu,1
5113,Jasper Rossi,1,Ms,1975-10-06,882 Delgado St,M6E 1Z7,11,555-8998,student5113@example.edu,1
5114,Tomas Whitfield,1,Mx,2003-12-25,689 Lindqvist St,L8A 3Y7,24,555-9423,student5114@example.edu,1
5115,Farid Zielinski,2,Ms,1987-07-31,156 Yilmaz St,M6J 7T2,3,555-2894,student5115@example.edu,1
5116,Wren Ferreira,1,Dr,1985-06-19,554 Silva St,K6E 3Z5,2,555-8962,student5116@example.edu,1
5117,Yusuf Yilmaz,1,Mr,1978-05-03,647 Rossi St,N3A 8R3,2,555-9294,student5117@example.edu,1
5118,Amara Rossi,1,Ms,2002-05-29,979 Ferreira St,M1C 0R9,18,555-9933,student5118@example.edu,1
5119,Yusuf Silva,1,Dr,1988-11-29,855 Petrov St,P4H 6X6,5,555-8769,student5119@example.edu,1
5120,Nadia Yilmaz,3,Dr,1990-05-15,177 Bianchi St,L1A 4R8,22,555-3114,student5120@example.edu,1
5121,Noor Silva,1,Dr,1987-03-03,78 Eriksen St,N6J 3R5,21,555-4664,student5121@example.edu,1
5122,Mateo Zielinski,1,Dr,1994-06-30,413 Yilmaz St,N6E 0R7,1,555-3416,student5122@example.edu,1
5123,Devon Silva,3,Ms,1992-02-01,318 Choi St,L6E 1X9,23,555-7615,student5123@example.edu,1
5124,Xiomara Nakamura,1,Dr,1978-01-10,997 Okonkwo St,P9J 2R7,27,555-9388,student5124@example.edu,1
5125,Imani Ferreira,1,Mx,1976-07-12,571 Nakamura St,V0E 6X6,8,555-9607,student5125@example.edu,1
5126,Rafael Ferreira,2,Mr,1983-09-28,976 Quintero St,V4B 2T9,21,555-7128,student5126@example.edu,1
5127,Celine Whitfield,1,Ms,1982-09-17,62 Xu St,M9H 4Y2,25,555-9278,student5127@example.edu,1
5128,Zara Whitfield,3,Dr,1986-10-18,126 Achebe St,V7B 4Y3,3,555-3636,student5128@example.edu,1
5129,Elena Tanaka,1,Dr,1982-02-14,53 Yilmaz St,K2C 5T2,10,555-9541,student5129@example.edu,1
5130,Esther Silva,3,Dr,1997-10-16,426 Xu St,L8A 7R9,30,555-2983,student5130@example.edu,1
5131,Elena Ibrahim,2,Mr,1985-06-25,613 Lindqvist St,N5C 2T2,13,555-6044,student5131@example.edu,1
5132,Devon Okonkwo,3,Ms,1980-07-30,426 Zielinski St,V7H 1R4,8,555-8680,student5132@example.edu,1
5133,Hiro Costa,1,Dr,1983-12-20,391 Quintero St,M5H 0R1,9,555-6991,student5133@example.edu,1
5134,Esther Rossi,1,Mr,1989-02-28,94 Bergstrom St,V5A 8T9,13,555-5779,student5134@example.edu,1
5135,Hiro Jansen,1,Mx,1981-09-13,668 Ferreira St,K7B 5X7,14,555-8875,student5135@example.edu,1
5136,Yusuf Ibrahim,2,Ms,1986-12-13,493 Whitfield St,P7E 1Y7,19,555-4652,student5136@example.edu,1
5137,Jonas Tanaka,2,Ms,1977-09-05,799 Delgado St,L4J 2T5,30,555-2458,student5137@example.edu,1
5138,Oscar Kowalski,2,Mr,1980-07-01,281 Achebe St,V4H 0Y3,10,555-2906,student5138@example.edu,1
5139,Mina Petrov,1,Dr,1983-10-04,79 Bianchi St,K8H 3R2,16,555-3246,student5139@example.edu,1
5140,Esther Costa,1,Dr,2001-05-27,796 Choi St,M4A 9W4,3,555-1121,student5140@example.edu,1
5141,Adaeze Bianchi,3,Dr,1984-04-21,924 Nakamura St,V3H 4W3,4,555-1164,student5141@example.edu,1
5142,Chiara Achebe,1,Ms,1993-04-27,909 Costa St,V9B 3W2,13,555-6748,student5142@example.edu,1
5143,Oscar Ferreira,2,Ms,1989-03-16,586 Varga St,V0E 1W1,29,555-5236,student5143@example.edu,1
5144,Yusuf Eriksen,3,Dr,2003-09-23,912 Jansen St,K2B 9Z5,17,555-6560,student5144@example.edu,1
5145,Tomas Gallagher,1,Dr,1994-08-07,713 Silva St,M6H 3Y2,18,555-8213,student5145@example.edu,1
5146,Noor Delgado,2,Ms,1981-07-10,412 Choi St,K5A 0W9,27,555-6892,student5146@example.edu,1
5147,Jasper Delgado,3,Ms,1984-09-19,673 Gallagher St,K0H 0T8,5,555-2181,student5147@example.edu,1
5148,Mateo Choi,3,Mr,2000-07-22,474 Delgado St,L0H 6R8,25,555-7518,student5148@example.edu,1
5149,Chiara Jansen,2,Mr,1984-02-27,577 Petrov St,V6B 6X1,25,555-6556,student5149@example.edu,1
5150,Wren Tanaka,2,Mx,1980-01-12,702 Okonkwo St,V0J 9Y9,21,555-6766,student5150@example.edu,1
5151,Ines Bianchi,1,Mx,2002-12-27,562 Tanaka St,V2C 8W5,2,555-1196,student5151@example.edu,1
5152,Wren Lindqvist,1,Dr,2002-04-26,169 Whitfield St,P1B 8Y6,13,555-7501,student5152@example.edu,1
5153,Priya Delgado,1,Mr,1986-01-27,995 Xu St,V4H 9X7,24,555-1910,student5153@example.edu,1
5154,Noor Costa,1,Mx,2004-07-19,727 Kowalski St,M8A 9T6,29,555-8895,student5154@example.edu,1
5155,Yusuf Achebe,1,Ms,1985-03-14,480 Choi St,L9J 2T7,18,555-6986,student5155@example.edu,1
5156,Dmitri Ueda,2,Mr,1999-03-24,977 Bergstrom St,M2C 6W6,30,555-8178,student5156@example.edu,1
5157,Farid Bergstrom,1,Dr,1983-09-22,512 Moreau St,P8E 9Z2,23,555-4262,student5157@example.edu,1
5158,Priya Ahmadi,2,Mr,1992-09-06,331 Okonkwo St,M7B 6T1,10,555-6400,student5158@example.edu,1
5159,Rafael Ferreira,1,Mr,1980-07-20,186 Gallagher St,N7A 0W5,15,555-7722,student5159@example.edu,1
5160,Gabriela Moreau,1,Dr,2000-11-02,480 Choi St,M4J 9X4,27,555-6412,student5160@example.edu,1
5161,Priya Nakamura,2,Mx,1993-09-10,58 Gallagher St,L1C 8Z2,22,555-6036,student5161@example.edu,1
5162,Zara Varga,1,Mx,1983-06-20,239 Haddad St,K9C 7W1,29,555-3905,student5162@example.edu,1
5163,Hassan Rossi,2,Dr,1993-04-22,24 Choi St,M1A 4R6,21,555-1389,student5163@example.edu,1
5164,Jonas Lindqvist,1,Mx,2005-01-28,244 Rossi St,L7B 6W0,13,555-2345,student5164@example.edu,1
5165,Mateo Bianchi,1,Mx,2002-12-30,214 Ferreira St,V5E 2Z8,26,555-6900,student5165@example.edu,1
5166,Quinn Costa,1,Mx,1977-03-10,232 Moreau St,M2E 0Y6,2,555-7936,student5166@example.edu,1
5167,Celine Haddad,2,Ms,1997-03-22,830 Ueda St,P3H 2X1,18,555-6863,student5167@example.edu,1
5168,Esther Xu,1,Mr,2002-04-19,422 Kowalski St,L2J 8X2,3,555-9147,student5168@example.edu,1
5169,Hiro Silva,1,Mr,1998-03-22,226 Quintero St,M5J 5Z8,5,555-4052,student5169@example.edu,1
5170,Zara Choi,3,Mx,1997-11-01,107 Bergstrom St,V3A 7W7,20,555-9527,student5170@example.edu,1
5171,Jasper Ferreira,1,Mr,1989-07-15,404 Choi St,L8E 4W0,12,555-3371,student5171@example.edu,1
5172,Bo Dubois,3,Mx,2002-05-08,212 Achebe St,L7A 9X8,30,555-1515,student5172@example.edu,1
5173,Greta Lindqvist,3,Dr,1993-03-27,543 Ferreira St,N6B 6R7,4,555-5937,student5173@example.edu,1
5174,Hassan Costa,1,Dr,1977-10-24,385 Lindqvist St,K2E 0Z4,22,555-6539,student5174@example.edu,1
5175,Nadia Dubois,1,Mr,1977-04-17,428 Yilmaz St,M1C 5W8,7,555-6550,student5175@example.edu,1
5176,Greta Quintero,1,Mx,1995-09-16,734 Zielinski St,K0A 0R4,30,555-1675,student5176@example.edu,1
5177,Elena Ibrahim,1,Mr,1988-04-17,15 Bergstrom St,L1C 3T8,18,555-8800,student5177@example.edu,1
5178,Priya Nakamura,3,Dr,1989-04-02,513 Yilmaz St,P8J 6R0,21,555-8468,student5178@example.edu,1
5179,Oscar Costa,1,Dr,2004-12-11,620 Achebe St,P0H 7X2,8,555-3098,student5179@example.edu,1
5180,Ursula Quintero,1,Mr,2004-09-12,14 Choi St,M8E 5X0,22,555-1651,student5180@example.edu,1
5181,Xiomara Moreau,1,Dr,2003-06-05,718 Xu St,L3C 1X1,18,555-2929,student5181@example.edu,1
5182,Quinn Ueda,3,Mx,1997-05-26,682 Dubois St,L0J 3Y2,2,555-7909,student5182@example.edu,1
5183,Quinn Ueda,2,Mx,1989-12-03,679 Bergstrom St,N2H 4W1,29,555-4229,student5183@example.edu,1
5184,Tomas Ibrahim,1,Dr,2000-06-23,994 Eriksen St,M1H 9T5,17,555-8554,student5184@example.edu,1
5185,Celine Tanaka,1,Dr,1988-05-20,832 Bergstrom St,K0C 0Y9,4,555-4356,student5185@example.edu,1
5186,Lucia Okonkwo,1,Mx,1994-03-21,966 Haddad St,P7J 2Y7,21,555-4794,student5186@example.edu,1
5187,Bruno Yilmaz,1,Ms,1992-11-30,63 Lindqvist St,L8A 0Y3,8,555-2120,student5187@example.edu,1
5188,Bruno Kowalski,1,Mr,1985-02-19,772 Silva St,P1C 2R7,5,555-1339,student5188@example.edu,1
5189,Felix Ueda,2,Ms,1979-09-22,172 Silva St,N0H 1X8,21,555-6283,student5189@example.edu,1
5190,Kenji Tanaka,1,Ms,1992-08-16,150 Ahmadi St,K4H 5W0,15,555-1756,student5190@example.edu,1
5191,Elena Petrov,1,Dr,1983-05-04,965 Eriksen St,K4E 0T1,2,555-7690,student5191@example.edu,1
5192,Farid Achebe,3,Ms,1979-09-03,458 Costa St,N4B 2W9,22,555-7767,student5192@example.edu,1
5193,Kenji Kowalski,1,Mr,1978-03-05,516 Nakamura St,N5B 2Y7,9,555-8984,student5193@example.edu,1
5194,Chiara Ahmadi,3,Dr,1975-04-10,172 Kowalski St,M4H 1Z2,13,555-9688,student5194@example.edu,1
5195,Imani Ueda,2,Ms,1987-03-24,99 Varga St,K7H 6X9,,555-7076,student5195@example.edu,1
5196,Hassan Bergstrom,1,Mx,1990-05-08,60 Rossi St,P6C 5W4,13,555-1641,student5196@example.edu,1
5197,Bo Bergstrom,1,Dr,1993-08-17,441 Petrov St,N8C 7R5,24,555-1820,student5197@example.edu,1
5198,Celine Whitfield,1,Mx,2002-01-13,436 Ueda St,L5H 7W2,22,555-5235,student5198@example.edu,1
5199,Wren Tanaka,3,Dr,1985-10-07,709 Achebe St,K5A 0R4,12,555-4464,student5199@example.edu,1
5200,Priya Costa,1,Ms,2001-04-19,98 Eriksen St,M8C 7Z5,22,555-1685,student5200@example.edu,1
5201,Lucia Jansen,1,Mx,1980-05-23,457 Silva St,L3A 3W5,5,555-6123,student5201@example.edu,1
5202,Rafael Costa,3,Mx,1992-11-03,260 Silva St,P0H 9T7,30,555-5079,student5202@example.edu,1
5203,Farid Costa,1,Ms,1998-07-13,190 Nakamura St,L8J 2W9,3,555-9511,student5203@example.edu,1
5204,Gabriela Costa,1,Mr,1985-09-10,67 Achebe St,V4B 4T4,5,555-4724,student5204@example.edu,1
5205,Elena Delgado,3,Dr,1976-12-11,842 Tanaka St,V4C 3W4,9,555-7315,student5205@example.edu,1
5206,Mateo Ahmadi,1,Dr,1978-03-18,849 Eriksen St,L2J 4X2,11,555-7255,student5206@example.edu,1
5207,Hiro Varga,2,Mx,1986-09-29,371 Silva St,L4C 2R3,7,555-7595,student5207@example.edu,1
5208,Noor Bergstrom,1,Mr,1978-05-16,612 Bergstrom St,L7B 6Z0,26,555-2618,student5208@example.edu,1
5209,Dmitri Jansen,3,Mr,1976-09-12,192 Xu St,N1J 1T0,16,555-5147,student5209@example.edu,1
5210,Hassan Achebe,3,Mr,1986-07-06,664 Ahmadi St,N2E 9X6,15,555-7718,student5210@example.edu,1
5211,Kenji Silva,1,Mx,1996-01-09,552 Ueda St,L3B 4Z7,9,555-7217,student5211@example.edu,1
5212,Imani Gallagher,1,Mx,1993-10-15,486 Gallagher St,M1B 3W3,23,555-2372,student5212@example.edu,1
5213,Hassan Lindqvist,3,Mr,1991-03-05,744 Petrov St,K0H 1W4,7,555-3882,student5213@example.edu,1
5214,Farid Kowalski,1,Ms,2003-08-08,782 Jansen St,N6B 2W0,19,555-3357,student5214@example.edu,1
5215,Hiro Rossi,1,Mr,1976-02-12,541 Delgado St,V2H 3W0,30,555-6628,student5215@example.edu,1
5216,Jasper Kowalski,2,Dr,1993-02-04,99 Zielinski St,L8E 3Z9,21,555-1930,student5216@example.edu,1
5217,Nadia Petrov,1,Dr,1998-06-05,631 Choi St,P8H 0Z7,30,555-4899,student5217@example.edu,1
5218,Devon Petrov,2,Dr,1993-05-21,637 Delgado St,V8A 8Z1,6,555-3164,student5218@example.edu,1
5219,Greta Varga,1,Mx,2004-09-16,328 Zielinski St,P2A 9Z9,14,555-6939,student5219@example.edu,1
5220,Bruno Bianchi,1,Mr,2000-04-02,166 Haddad St,P2B 4W0,21,555-5798,student5220@example.edu,1
5221,Imani Varga,2,Mr,1975-10-08,260 Yilmaz St,L1B 2Y6,16,555-8907,student5221@example.edu,1
5222,Amara Gallagher,1,Dr,1978-08-19,666 Rossi St,L2B 9X6,4,555-3495,student5222@example.edu,1
5223,Farid Ahmadi,1,Ms,2003-02-27,709 Achebe St,N9J 3T0,28,555-9241,student5223@example.edu,1
5224,Lucia Moreau,2,Mr,1999-01-15,211 Xu St,P5E 3W1,4,555-4931,student5224@example.edu,1
5225,Bo Eriksen,1,Ms,1992-10-30,949 Jansen St,K7A 7T0,11,555-9872,student5225@example.edu,1
5226,Felix Kowalski,3,Mx,1991-11-26,719 Xu St,N1A 0X3,6,555-6449,student5226@example.edu,1
5227,Nadia Gallagher,1,Mr,1986-11-15,354 Tanaka St,P9J 0W2,28,555-3753,student5227@example.edu,1
5228,Kaia Quintero,2,Mr,1979-02-06,295 Yilmaz St,L2C 2W9,2,555-5282,student5228@example.edu,1
5229,Imani Haddad,1,Mx,1987-09-26,861 Varga St,M3C 0Y9,11,555-3424,student5229@example.edu,1
5230,Kenji Tanaka,3,Mx,1986-04-12,888 Costa St,P1H 1T3,25,555-7176,student5230@example.edu,1
5231,Chiara Haddad,1,Ms,1989-06-11,367 Yilmaz St,N8B 2R1,28,555-3936,student5231@example.edu,1
