CustomerID,CustomerName,Province,Region,CustomerSegment
9630170,Ryan Akin,Ontario,Ontario,Consumer
9690051,Lisa DeCherney,New Brunswick,Atlantic,Corporate
9725401,Laurel Elliston,New Brunswick,Atlantic,Corporate
9854609,Julia West,Northwest Territories,Northwest Territories,Corporate
9950200,Kimberly Carter,Quebec,Quebec,Home Office
9969848,Barry Gonzalez,Quebec,Quebec,Consumer
9995389,Emily Phan,Quebec,Quebec,Consumer
10010675,Kristen Hastings,Ontario,Ontario,Corporate
10035142,Janet Martin,Newfoundland,Atlantic,Corporate
10045148,Bill Tyler,Nova Scotia,Atlantic,Consumer
10056208,Khloe Miller,Nova Scotia,Atlantic,Consumer
10128489,Harold Engle,Prince Edward Island,Atlantic,Consumer
10136898,James Lanier,Ontario,Ontario,Corporate
10166893,Benjamin Farhat,Yukon,Yukon,Home Office
10181449,Carlos Daly,Northwest Territories,Northwest Territories,Corporate
10236331,Sally Knutson,Nova Scotia,Atlantic,Consumer
10250297,Vivian Mathis,Quebec,Quebec,Corporate
10328710,Evan Minnotte,Manitoba,Prarie,Corporate
10356602,Lena Creighton,Ontario,Ontario,Corporate
10374472,Nora Paige,Yukon,Yukon,Small Business
10406639,Nick Crebassa,Saskachewan,Prarie,Corporate
10407796,Charles Crestani,Yukon,Yukon,Consumer
10540824,Dianna Wilson,Ontario,Ontario,Small Business
10565428,Erica Hackney,Alberta,West,Small Business
10575811,Christopher Martinez,British Columbia,West,Small Business
10582134,Tracy Collins,Manitoba,Prarie,Corporate
10584324,Christy Brittain,Quebec,Quebec,Consumer
10656473,Lisa DeCherney,New Brunswick,Atlantic,Consumer
10691025,Dennis Pardue,Saskachewan,Prarie,Corporate
10756558,Frank Carlisle,Ontario,Ontario,Small Business
10766748,Gary Zandusky,Ontario,Ontario,Home Office
10791341,Grant Carroll,Nunavut,Nunavut,Corporate
10797386,Michael Oakman,Saskachewan,Prarie,Small Business
10820132,Dave Brooks,Manitoba,Prarie,Corporate
10983392,Raymond Fair,Newfoundland,Atlantic,Small Business
11001728,Mark Packer,British Columbia,West,Small Business
11034951,Karen Carlisle,Nova Scotia,Atlantic,Home Office
11137069,Dean Percer,New Brunswick,Atlantic,Home Office
11233852,Adam Bellavance,Ontario,Ontario,Small Business
11252896,Jason Gross,Manitoba,Prarie,Small Business
11286401,Anna Gayman,Ontario,Ontario,Corporate
11321197,Christina DeMoss,British Columbia,West,Home Office
11405224,Dean Percer,New Brunswick,Atlantic,Consumer
11408122,Dorothy Dickinson,Ontario,Ontario,Corporate
11409165,Jim Karlsson,British Columbia,West,Small Business
11551378,Craig Yedwab,Yukon,Yukon,Consumer
11726321,Kristen Hastings,Saskachewan,Prarie,Corporate
11826026,Mark Packer,Quebec,Quebec,Small Business
11861127,Tracy Collins,Manitoba,Prarie,Consumer
11928127,Beth Thompson,Northwest Territories,Northwest Territories,Corporate
11934383,Carlos Soltero,Prince Edward Island,Atlantic,Consumer
12009006,Robert Barroso,Yukon,Yukon,Small Business
12027757,Brad Thomas,British Columbia,West,Corporate
12055977,Tracy Zic,Manitoba,Prarie,Consumer
12083055,Ed Jacobs,Newfoundland,Atlantic,Small Business
12119240,Amy Hunt,Saskachewan,Prarie,Consumer
12193437,Corey Lock,Quebec,Quebec,Home Office
12220783,Natalie Webber,British Columbia,West,Consumer
12263605,Gene McClure,Manitoba,Prarie,Home Office
12299029,Maribeth Schnelling,New Brunswick,Atlantic,Corporate
12346524,Arthur Wiediger,Ontario,Ontario,Corporate
12373493,Aleksandra Gannaway,Saskachewan,Prarie,Corporate
12392564,Troy Blackwell,Ontario,Ontario,Home Office
12419685,Lisa DeCherney,British Columbia,West,Corporate
12488619,Bryan Davis,Northwest Territories,Northwest Territories,Corporate
12518883,Nicole Brennan,British Columbia,West,Consumer
12539879,Sarah Jordon,Manitoba,Prarie,Consumer
12566604,Cindy Schnelling,Saskachewan,Prarie,Corporate
12671287,Darren Budd,Ontario,Ontario,Consumer
12674110,Sarah Brown,Alberta,West,Consumer
12756390,Dario Medina,Yukon,Yukon,Small Business
12801101,Julia Barnett,Nova Scotia,Atlantic,Corporate
12841867,Russell D'Ascenzo,Manitoba,Prarie,Consumer
12859907,Denny Ordway,Yukon,Yukon,Small Business
12932634,Ryan Crowe,Manitoba,Prarie,Small Business
12964455,Tamara Willingham,British Columbia,West,Home Office
12997708,Denny Blanton,Ontario,Ontario,Home Office
13009089,Gene McClure,Quebec,Quebec,Consumer
13012156,Ken Heidel,Saskachewan,Prarie,Corporate
13019151,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate
13117414,Julia West,Nunavut,Nunavut,Corporate
13158064,Sean Miller,Ontario,Ontario,Small Business
13226298,Noah Childs,Ontario,Ontario,Home Office
13226561,Nick Zandusky,Saskachewan,Prarie,Small Business
13258267,Maureen Gastineau,Newfoundland,Atlantic,Consumer
13314221,Toby Knight,Manitoba,Prarie,Corporate
13485144,Annie Cyprus,Northwest Territories,Northwest Territories,Home Office
13638622,Pierre Wener,Quebec,Quebec,Home Office
13698768,Frank Price,Northwest Territories,Northwest Territories,Corporate
13719044,Charles Crestani,British Columbia,West,Consumer
13788018,Mike Gockenbach,Manitoba,Prarie,Consumer
13856521,Noel Staavos,British Columbia,West,Home Office
13884388,Thomas Boland,Ontario,Ontario,Corporate
13888154,Ken Heidel,British Columbia,West,Corporate
14033736,Alan Schoenberger,British Columbia,West,Corporate
14093031,Lindsay Castell,Quebec,Quebec,Corporate
14110003,George Zrebassa,British Columbia,West,Home Office
14111599,Cathy Armstrong,Nova Scotia,Atlantic,Consumer
14291205,Helen Abelman,Prince Edward Island,Atlantic,Home Office
14293127,Damala Kotsonis,Quebec,Quebec,Corporate
14331565,Doug O'Connell,Ontario,Ontario,Small Business
14443258,Bart Watters,British Columbia,West,Corporate
14517596,Nona Balk,New Brunswick,Atlantic,Corporate
14547307,Ken Brennan,Ontario,Ontario,Home Office
14548487,Guy Armstrong,Prince Edward Island,Atlantic,Corporate
14565933,Matt Abelman,British Columbia,West,Small Business
14649835,Fred Chung,Quebec,Quebec,Corporate
14741565,Janet Martin,Ontario,Ontario,Corporate
14751244,Nora Pelletier,Manitoba,Prarie,Corporate
14825481,Katrina Willman,Nova Scotia,Atlantic,Consumer
14871276,Anthony O'Donnell,British Columbia,West,Consumer
14961350,Randy Ferguson,Saskachewan,Prarie,Home Office
15023876,Dennis Pardue,Saskachewan,Prarie,Small Business
15048550,Katrina Bavinger,Ontario,Ontario,Home Office
15052698,Rob Haberlin,Ontario,Ontario,Corporate
15087878,Jonathan Howell,Ontario,Ontario,Consumer
15239298,Sean Wendt,British Columbia,West,Corporate
15368315,David Kendrick,Yukon,Yukon,Home Office
15369322,Dave Poirier,Yukon,Yukon,Small Business
15408772,Stefania Perrino,Nova Scotia,Atlantic,Corporate
15499743,Vivian Mathis,Quebec,Quebec,Consumer
15561390,Keith Herrera,Nova Scotia,Atlantic,Small Business
15571411,Arianne Irving,Saskachewan,Prarie,Corporate
15610164,Ricardo Emerson,British Columbia,West,Corporate
15639214,Katrina Bavinger,Ontario,Ontario,Consumer
15643761,Suzanne McNair,Saskachewan,Prarie,Small Business
15814455,Toby Grace,Saskachewan,Prarie,Home Office
15836964,Jennifer Ferguson,Quebec,Quebec,Corporate
15879065,Julie Creighton,British Columbia,West,Corporate
16060471,Kelly Collister,Saskachewan,Prarie,Consumer
16089776,Carlos Soltero,Prince Edward Island,Atlantic,Small Business
16132386,Lindsay Castell,Alberta,West,Corporate
16320930,Anthony Garverick,Nova Scotia,Atlantic,Small Business
16438527,Rob Beeghly,Ontario,Ontario,Consumer
16475482,Brian Stugart,Yukon,Yukon,Consumer
16533423,Joy Smith,Manitoba,Prarie,Consumer
16627071,Harold Dahlen,British Columbia,West,Corporate
16637514,Phillip Breyer,Ontario,Ontario,Corporate
16666221,Deanra Eno,Yukon,Yukon,Corporate
16724484,David Bremer,British Columbia,West,Corporate
16737262,Alex Avila,British Columbia,West,Corporate
16907084,Michelle Arnett,British Columbia,West,Home Office
16917108,Maya Herman,Nova Scotia,Atlantic,Corporate
16921475,Robert Barroso,Quebec,Quebec,Small Business
16972966,Susan Pistek,Saskachewan,Prarie,Home Office
17005974,Nora Paige,Nova Scotia,Atlantic,Small Business
17033987,Sonia Sunley,British Columbia,West,Corporate
17118153,Vivek Grady,Ontario,Ontario,Corporate
17241550,Rick Hansen,Saskachewan,Prarie,Corporate
17328667,Brosina Hoffman,Saskachewan,Prarie,Consumer
17332515,Jim Radford,Northwest Territories,Northwest Territories,Corporate
17355109,Robert Barroso,Nova Scotia,Atlantic,Small Business
17356345,Tom Prescott,Yukon,Yukon,Small Business
17497455,Jamie Frazer,Manitoba,Prarie,Small Business
17604431,Greg Maxwell,Nova Scotia,Atlantic,Home Office
17649315,Paul Knutson,Newfoundland,Atlantic,Corporate
17767864,Mathew Reese,Quebec,Quebec,Small Business
17803888,Darrin Martin,Ontario,Ontario,Small Business
17886187,Susan Vittorini,Ontario,Ontario,Corporate
18074009,Thais Sissman,Manitoba,Prarie,Corporate
18173108,Liz Carlisle,Saskachewan,Prarie,Corporate
18174109,Eugene Hildebrand,Ontario,Ontario,Home Office
18255550,Debra Catini,Quebec,Quebec,Small Business
18262264,Bradley Nguyen,Quebec,Quebec,Corporate
18270898,Dianna Arnett,Newfoundland,Atlantic,Home Office
18293658,Karen Carlisle,British Columbia,West,Home Office
18334625,Nancy Lomonaco,Ontario,Ontario,Home Office
18361125,Jas O'Carroll,Ontario,Ontario,Corporate
18400683,Maribeth Dona,Quebec,Quebec,Home Office
18436824,Nora Paige,Newfoundland,Atlantic,Small Business
18467123,Dean Percer,Newfoundland,Atlantic,Consumer
18517094,John Lucas,Ontario,Ontario,Corporate
18657017,Alyssa Tate,Nova Scotia,Atlantic,Small Business
18716501,Aleksandra Gannaway,Yukon,Yukon,Corporate
18723161,Thomas Brumley,Manitoba,Prarie,Consumer
18837338,Penelope Sewall,Manitoba,Prarie,Home Office
19029328,Gary Hwang,Manitoba,Prarie,Home Office
19043578,John Castell,Nova Scotia,Atlantic,Small Business
19237970,Carlos Soltero,Northwest Territories,Northwest Territories,Consumer
19317610,Stephanie Ulpright,Ontario,Ontario,Consumer
19346760,Nicole Brennan,Yukon,Yukon,Home Office
19360668,Parhena Norris,Manitoba,Prarie,Home Office
19473719,Emily Burns,Nova Scotia,Atlantic,Home Office
19477891,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate
19529123,Steven Roelle,Ontario,Ontario,Small Business
19544810,Mike Vittorini,Nova Scotia,Atlantic,Small Business
19637851,Anne McFarland,Yukon,Yukon,Consumer
19646165,Julia Barnett,Yukon,Yukon,Home Office
19646967,Andy Reiter,Saskachewan,Prarie,Corporate
19652649,Trudy Schmidt,British Columbia,West,Small Business
19652929,Astrea Jones,Quebec,Quebec,Corporate
19747030,Lindsay Castell,Quebec,Quebec,Small Business
19748793,Nora Price,New Brunswick,Atlantic,Small Business
19750832,Eric Barreto,Manitoba,Prarie,Small Business
19762901,Hallie Redmond,Ontario,Ontario,Small Business
19847319,Bart Folk,Yukon,Yukon,Corporate
19890992,Stephanie Phelps,Alberta,West,Consumer
19984778,Georgia Rosenberg,New Brunswick,Atlantic,Consumer
19986307,Gary Hansen,Ontario,Ontario,Consumer
19995239,Chuck Clark,Nova Scotia,Atlantic,Corporate
20002172,Maureen Gastineau,Yukon,Yukon,Consumer
20033456,Chad Sievert,Manitoba,Prarie,Corporate
20066882,Chris Cortes,Newfoundland,Atlantic,Consumer
20071951,Candace McMahon,Ontario,Ontario,Corporate
20148851,Thea Hendricks,Yukon,Yukon,Home Office
20218610,Liz Price,Saskachewan,Prarie,Consumer
20282629,Evan Minnotte,Prince Edward Island,Atlantic,Corporate
20332788,Astrea Jones,Nova Scotia,Atlantic,Corporate
20370095,Sara Luxemburg,Newfoundland,Atlantic,Small Business
20427219,Benjamin Patterson,Ontario,Ontario,Corporate
20434205,Raymond Fair,Ontario,Ontario,Small Business
20484349,John Lee,Manitoba,Prarie,Corporate
20566789,Ralph Kennedy,British Columbia,West,Corporate
20700273,Ionia McGrath,New Brunswick,Atlantic,Small Business
20705818,Anemone Ratner,New Brunswick,Atlantic,Small Business
20711305,Gary McGarr,Quebec,Quebec,Home Office
20807427,Nathan Mautz,Manitoba,Prarie,Corporate
20860077,Liz Price,British Columbia,West,Consumer
20864775,Cindy Stewart,Yukon,Yukon,Consumer
20872558,Sarah Jordon,Nova Scotia,Atlantic,Consumer
20979572,Chris McAfee,Yukon,Yukon,Consumer
21047871,Jennifer Patt,Yukon,Yukon,Home Office
21051246,Mick Brown,British Columbia,West,Consumer
21091134,Tony Molinari,Ontario,Ontario,Corporate
21255162,Greg Hansen,Ontario,Ontario,Home Office
21258025,"Andy,Yotov",Ontario,Ontario,Corporate
21270971,Tracy Collins,New Brunswick,Atlantic,Corporate
21295595,Craig Yedwab,Ontario,Ontario,Consumer
21396956,Richard Bierner,New Brunswick,Atlantic,Small Business
21424768,Charles Sheldon,Manitoba,Prarie,Corporate
21462074,Victoria Pisteka,Alberta,West,Corporate
21513268,Tom Stivers,Saskachewan,Prarie,Corporate
21613461,Julie Kriz,Quebec,Quebec,Corporate
21703579,Henia Zydlo,Manitoba,Prarie,Home Office
21729136,Dave Brooks,Ontario,Ontario,Corporate
21904093,Grant Donatelli,Alberta,West,Consumer
21909421,Ed Braxton,Manitoba,Prarie,Home Office
21939120,Greg Guthrie,Prince Edward Island,Atlantic,Small Business
21958370,Rick Duston,British Columbia,West,Corporate
22050539,Adam Bellavance,Alberta,West,Small Business
22112455,Corinna Mitchell,Quebec,Quebec,Corporate
22237665,Bill Shonely,Nova Scotia,Atlantic,Small Business
22307990,Matt Collister,Saskachewan,Prarie,Home Office
22367901,Michael Paige,Nova Scotia,Atlantic,Small Business
22439533,George Zrebassa,Ontario,Ontario,Home Office
22470862,Neoma Murray,Saskachewan,Prarie,Small Business
22477532,Henry Goldwyn,Northwest Territories,Northwest Territories,Small Business
22558635,Brian Derr,Nova Scotia,Atlantic,Small Business
22754409,Greg Guthrie,Manitoba,Prarie,Corporate
22824642,Katherine Nockton,Quebec,Quebec,Corporate
22836729,Fred McMath,Newfoundland,Atlantic,Small Business
22838558,Michael Granlund,Nova Scotia,Atlantic,Home Office
22856565,Rick Duston,Newfoundland,Atlantic,Corporate
22879750,Bart Pistole,Quebec,Quebec,Consumer
22948694,Alan Hwang,New Brunswick,Atlantic,Corporate
22998376,Richard Bierner,Saskachewan,Prarie,Small Business
23051437,Hilary Holden,Prince Edward Island,Atlantic,Corporate
23074221,Craig Leslie,Alberta,West,Consumer
23111538,Cyra Reiten,British Columbia,West,Consumer
23169608,Ed Braxton,Yukon,Yukon,Home Office
23188468,Edward Hooks,Northwest Territories,Northwest Territories,Consumer
23284184,Skye Norling,Nunavut,Nunavut,Home Office
23344923,Giulietta Dortch,Yukon,Yukon,Consumer
23386707,Nora Price,New Brunswick,Atlantic,Home Office
23407763,Charles McCrossin,Northwest Territories,Northwest Territories,Corporate
23436088,Brendan Sweed,New Brunswick,Atlantic,Consumer
23462469,Dean Braden,Ontario,Ontario,Corporate
23544783,Vivek Gonzalez,Quebec,Quebec,Consumer
23558649,Peter Buhler,British Columbia,West,Consumer
23647299,Grace Kelly,Alberta,West,Consumer
23649246,Sandra Flanagan,Ontario,Ontario,Home Office
23674656,Alan Schoenberger,Ontario,Ontario,Corporate
23702536,Amy Cox,Yukon,Yukon,Small Business
23784011,Jill Matthias,Yukon,Yukon,Consumer
23795937,Alan Hwang,Ontario,Ontario,Corporate
23808541,Craig Rider,Saskachewan,Prarie,Small Business
23852786,Noah Childs,Prince Edward Island,Atlantic,Home Office
23905406,Dennis Kane,Quebec,Quebec,Small Business
23920877,Kean Takahito,Saskachewan,Prarie,Home Office
23921769,Giulietta Dortch,British Columbia,West,Small Business
23953185,Tracy Poddar,Newfoundland,Atlantic,Corporate
23988283,Neil French,Saskachewan,Prarie,Consumer
24078858,Maria Bertelson,Manitoba,Prarie,Corporate
24082624,Victor Price,Manitoba,Prarie,Consumer
24088027,Shahid Hopkins,British Columbia,West,Small Business
24098604,Ashley Jarboe,Yukon,Yukon,Home Office
24149383,Denny Joy,Manitoba,Prarie,Corporate
24207664,Ellis Ballard,Yukon,Yukon,Corporate
24223712,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business
24239354,Dan Campbell,British Columbia,West,Small Business
24286812,Annie Thurman,Ontario,Ontario,Home Office
24306819,Kelly Williams,British Columbia,West,Corporate
24333725,Hunter Lopez,Ontario,Ontario,Consumer
24337046,Heather Jas,Nova Scotia,Atlantic,Corporate
24481187,Dennis Bolton,Manitoba,Prarie,Small Business
24482846,Quincy Jones,New Brunswick,Atlantic,Corporate
24574802,Ken Lonsdale,Ontario,Ontario,Consumer
24606708,Adrian Hane,Alberta,West,Corporate
24699845,Philip Brown,Ontario,Ontario,Home Office
24718220,Steven Ward,Manitoba,Prarie,Consumer
24754584,Alyssa Tate,British Columbia,West,Small Business
24845242,Paul Knutson,Nova Scotia,Atlantic,Corporate
24878468,Natalie DeCherney,Quebec,Quebec,Consumer
25162682,Sam Zeldin,Ontario,Ontario,Small Business
25165064,Yoseph Carroll,Alberta,West,Consumer
25228465,Frank Atkinson,Nova Scotia,Atlantic,Corporate
25362542,Catherine Glotzbach,Alberta,West,Home Office
25377321,Muhammed Yedwab,Quebec,Quebec,Consumer
25488283,Dianna Arnett,Nova Scotia,Atlantic,Home Office
25507147,Art Ferguson,Nova Scotia,Atlantic,Corporate
25540872,Karen Seio,New Brunswick,Atlantic,Consumer
25562063,Carlos Meador,Nova Scotia,Atlantic,Corporate
25602747,Lauren Leatherbury,British Columbia,West,Corporate
25637113,Ken Heidel,Manitoba,Prarie,Corporate
25695577,Sally Hughsby,Ontario,Ontario,Home Office
25715035,Bobby Elias,British Columbia,West,Small Business
25750022,Maribeth Yedwab,Saskachewan,Prarie,Home Office
25774862,Gary Mitchum,Ontario,Ontario,Consumer
25793349,Lena Cacioppo,Quebec,Quebec,Home Office
25873692,Alejandro Grove,Ontario,Ontario,Consumer
25882629,Cynthia Voltz,Quebec,Quebec,Corporate
25911898,Sanjit Jacobs,Quebec,Quebec,Consumer
25961578,Jack Garza,Manitoba,Prarie,Corporate
26154365,Sean Wendt,Nova Scotia,Atlantic,Corporate
26155039,Chad Cunningham,Prince Edward Island,Atlantic,Small Business
26405324,Dan Campbell,Newfoundland,Atlantic,Corporate
26421512,Valerie Takahito,Saskachewan,Prarie,Consumer
26622969,Jennifer Patt,Ontario,Ontario,Home Office
26729175,Bruce Stewart,New Brunswick,Atlantic,Corporate
26730000,Deborah Brumfield,British Columbia,West,Small Business
26802505,Tracy Poddar,Quebec,Quebec,Corporate
26807355,Sung Chung,Saskachewan,Prarie,Home Office
26814362,Erica Bern,Prince Edward Island,Atlantic,Small Business
26827600,Laurel Elliston,Quebec,Quebec,Home Office
26860291,Don Jones,Nunavut,Nunavut,Corporate
26871525,Giulietta Dortch,Nova Scotia,Atlantic,Consumer
26871677,Cathy Prescott,Alberta,West,Corporate
26983125,Carlos Soltero,Nunavut,Nunavut,Consumer
26995184,Erica Bern,Prince Edward Island,Atlantic,Corporate
27000509,Mark Van Huff,Saskachewan,Prarie,Home Office
27064579,Steven Roelle,Alberta,West,Small Business
27137028,Toby Braunhardt,Northwest Territories,Northwest Territories,Corporate
27185389,Karl Brown,Ontario,Ontario,Corporate
27211235,Liz Price,British Columbia,West,Corporate
27235722,Thea Hendricks,Newfoundland,Atlantic,Home Office
27242353,Carl Weiss,Saskachewan,Prarie,Consumer
27524985,Mark Cousins,Manitoba,Prarie,Home Office
27586976,Katherine Ducich,Manitoba,Prarie,Corporate
27626796,Patricia Hirasaki,Ontario,Ontario,Home Office
27896929,Sylvia Foulston,Quebec,Quebec,Corporate
27976227,Liz Willingham,Ontario,Ontario,Home Office
28030760,Michael Granlund,Nova Scotia,Atlantic,Corporate
28062620,Michael Granlund,Manitoba,Prarie,Home Office
28130934,Maxwell Schwartz,Saskachewan,Prarie,Corporate
28204770,Amy Cox,Ontario,Ontario,Home Office
28227347,Jay Kimmel,Ontario,Ontario,Small Business
28257713,Tom Prescott,British Columbia,West,Small Business
28264061,Dean Percer,Yukon,Yukon,Home Office
28321640,Jim Sink,British Columbia,West,Corporate
28382862,Shahid Shariari,British Columbia,West,Consumer
28395632,Andrew Allen,British Columbia,West,Corporate
28399266,Quincy Jones,Yukon,Yukon,Corporate
28488718,Greg Tran,Quebec,Quebec,Home Office
28497631,Eric Barreto,Ontario,Ontario,Consumer
28609672,Thea Hudgings,Manitoba,Prarie,Consumer
28718928,Ken Lonsdale,New Brunswick,Atlantic,Consumer
28739071,Marc Crier,Nova Scotia,Atlantic,Corporate
28773850,John Castell,Ontario,Ontario,Small Business
28782880,Damala Kotsonis,Newfoundland,Atlantic,Corporate
28787189,Shaun Weien,British Columbia,West,Home Office
28799558,Gene Hale,British Columbia,West,Consumer
28822817,Nicole Hansen,Northwest Territories,Northwest Territories,Corporate
28931462,Joni Blumstein,Ontario,Ontario,Consumer
28941888,Dionis Lloyd,Quebec,Quebec,Small Business
29012034,Theresa Swint,Manitoba,Prarie,Consumer
29025972,Jill Matthias,British Columbia,West,Consumer
29055608,Darrin Sayre,Nova Scotia,Atlantic,Consumer
29172730,Susan Vittorini,Northwest Territories,Northwest Territories,Home Office
29307407,Emily Ducich,Manitoba,Prarie,Consumer
29343671,Emily Grady,British Columbia,West,Home Office
29364014,David Smith,Nova Scotia,Atlantic,Small Business
29419345,Ed Jacobs,Yukon,Yukon,Small Business
29419859,Mike Pelletier,Northwest Territories,Northwest Territories,Corporate
29483524,Erin Mull,New Brunswick,Atlantic,Corporate
29527556,Theresa Swint,Quebec,Quebec,Small Business
29592089,Bruce Degenhardt,Ontario,Ontario,Home Office
29595885,Cari Sayre,Ontario,Ontario,Home Office
29599945,Hunter Lopez,Nova Scotia,Atlantic,Consumer
29648423,Christy Brittain,Newfoundland,Atlantic,Consumer
29705839,Muhammed Yedwab,New Brunswick,Atlantic,Consumer
29764059,Bill Eplett,Saskachewan,Prarie,Corporate
29843835,Mike Kennedy,Nova Scotia,Atlantic,Small Business
29954303,Tony Molinari,Nova Scotia,Atlantic,Corporate
29954408,Henry Goldwyn,Manitoba,Prarie,Small Business
29962626,Chris Cortes,British Columbia,West,Consumer
30028735,Julia Barnett,British Columbia,West,Home Office
30084133,Denise Leinenbach,Nova Scotia,Atlantic,Home Office
30236526,Steve Carroll,Nova Scotia,Atlantic,Consumer
30238656,Peter Fuller,Saskachewan,Prarie,Corporate
30256039,Maurice Satty,Manitoba,Prarie,Corporate
30297651,Jocasta Rupert,British Columbia,West,Consumer
30311200,Bryan Spruell,British Columbia,West,Home Office
